Name,Nationality,Overall,Position,Club
Pietrson Mendes,Brazil,72,CAM,Grêmio
V. Černý,Czech Republic,77,RM,Beşiktaş JK
L. Millar,Canada,72,LM,Hull City
E. Krafth,Sweden,73,CB,Newcastle United
Hwang Ui Jo,South Korea,71,ST,Alanyaspor
Y. Demoncy,France,69,CAM,Stade de Reims
M. Stroeykens,Belgium,74,CM,RSC Anderlecht
Liziero,Brazil,70,CM,CD Nacional
J. Piotrowski,Poland,69,CM,Udinese
D. Tıknaz,Turkey,72,CDM,Beşiktaş JK
Iván Alejo,Spain,68,RM,Real Valladolid CF
T. Davies,England,70,CM,Sheffield United
M. Al Tamari,Jordan,75,RM,Stade Rennais FC
R. Rojas,Paraguay,71,RB,Libertad
Jofre,Spain,74,RM,RCD Espanyol
A. Budimir,Croatia,82,ST,CA Osasuna
M. Vydra,Czech Republic,74,ST,Viktoria Plzeň
A. Muyl,United States,68,RM,Nashville SC
Riki,Spain,70,CM,Albacete Balompié
Ba Dun,China,67,RB,Tianjin Jinmen Tiger
Kike Pérez,Spain,74,CM,Venezia
A. Tosin,Benin,71,ST,FC Lorient
F. Zampano,Italy,71,LB,Modena
N. Al Dawsari,Saudi Arabia,68,CM,Al Hilal
Roldão Riso,Brazil,69,CDM,Palmeiras
T. Nguen,Norway,71,ST,Djurgårdens IF
David Seijalbo,Brazil,76,CDM,Atlético Mineiro
L. Ugochukwu,France,73,CDM,Burnley
Ander Guevara,Spain,76,CDM,Deportivo Alavés
D. Foulon,Belgium,72,LM,Royal Antwerp FC
Tetê,Brazil,77,RM,Panathinaikos FC
F. Quignon,Argentina,73,CDM,Belgrano de Córdoba
D. Bradarić,Croatia,71,LB,Hellas Verona FC
L. Evans,Wales,67,CM,Blackpool FC
G. Konan,Ivory Coast,72,LB,Gil Vicente FC
J. Oosterwolde,Netherlands,76,LB,Fenerbahçe SK
G. Nikas,Greece,67,CM,Panathinaikos FC
N. Brown,Germany,77,LB,Eintracht Frankfurt
L. Tousart,France,74,CDM,Stade Brestois 29
M. Nalepa,Poland,66,CM,Gençlerbirliği SK
Lino Essier,Brazil,74,CB,São Paulo
S. Denswil,Suriname,73,CB,Kayserispor
E. Marcondes,Denmark,70,CM,Norwich City
Ronaldo Vieira,England,68,CM,San Jose Earthquakes
Joel Pereira,Portugal,72,RB,Lech Poznań
D. Rossi,Uruguay,75,CAM,Columbus Crew
T. Tissoudali,Morocco,74,ST,
I. Koné,Canada,72,CM,Sassuolo
S. Fet,Norway,70,CM,FK Bodø/Glimt
Juli Piresinho,Brazil,74,RB,Grêmio
Dani Raba,Spain,76,RM,Valencia CF
Pablo Marín,Spain,73,CM,Real Sociedad
G. Caprari,Italy,74,CAM,Monza
L. Oppie,Germany,68,LB,FC St. Pauli
J. Lotomba,Switzerland,75,RB,Feyenoord
Rafa Mir,Spain,72,ST,Elche CF
Gerard Martín,Spain,74,LB,FC Barcelona
D. Barlaser,England,70,CDM,Hibernian
C. Bassogog,Cameroon,70,RM,Al Akhdoud Saudi Club
E. Latte Lath,Ivory Coast,73,ST,Atlanta United
K. Sema,Sweden,70,LM,
A. Ildız,Turkey,67,CM,Göztepe SK
C. Metcalfe,Australia,69,CM,FC St. Pauli
A. Lagos,Argentina,71,RB,Vélez Sarsfield
J. Gelhardt,England,70,ST,Hull City
B. Osborn,England,68,CM,Stockport County
Tete Morente,Spain,72,LM,Lecce
A. Martínez,Argentina,78,ST,Racing Club
A. Dozzell,England,68,CDM,Portsmouth
Puertas,Spain,72,LM,Albacete Balompié
B. Wolski,Poland,69,CM,Motor Lublin
S. Kawasaki,Japan,71,CM,1. FSV Mainz 05
T. Romanczuk,Poland,71,CDM,Jagiellonia Białystok
F. Panák,Czech Republic,74,CB,Sparta Praha
C. Nieuwenhof,Australia,68,CM,Hearts
L. Cepeda,Chile,72,LW,Colo-Colo
S. Haller,Ivory Coast,77,ST,FC Utrecht
M. Amougou,France,72,CM,RC Strasbourg Alsace
D. Holmes,United States,68,CAM,Houston Dynamo
D. Cissé,France,73,CM,Stade Rennais FC
Manu Trigueros,Spain,71,CM,Granada CF
M. Yamane,Japan,72,RB,LA Galaxy
M. Perrone,Argentina,73,CDM,Como
A. Layouni,Tunisia,72,RW,BK Häcken
S. Mavididi,England,75,LM,Leicester City
D. Afolayan,England,72,RW,FC St. Pauli
Pau Cubarsí,Spain,82,CB,FC Barcelona
A. Memić,Bosnia and Herzegovina,72,RM,Viktoria Plzeň
José Mirazar,Brazil,74,CAM,Botafogo
B. Bronico,United States,69,CM,Charlotte FC
O. Moxon,England,66,CM,Stockport County
A. Hatem,Qatar,70,CM,
Nam Tae Hee,South Korea,67,CM,Jeju United FC
L. Gómez,Argentina,70,RB,Independiente Rivadavia
E. Gnahoré,France,70,CDM,Dinamo Bucureşti
Y. Vertessen,Belgium,74,ST,FC Red Bull Salzburg
F. Pizzini,Argentina,70,RM,Vélez Sarsfield
V. Atangana,France,73,CDM,Al Ahli SFC
Carreira,Spain,75,RM,RC Celta
B. Özcan,Turkey,69,CM,Fatih Karagümrük
V. Jurečka,Czech Republic,70,ST,Çaykur Rizespor
S. Thern,Sweden,65,CM,IFK Värnamo
Félix Correia,Portugal,75,LM,Lille OSC
L. Jović,Serbia,76,ST,AEK Athens
M. Cancellieri,Italy,72,RM,Lazio
A. Kutucu,Turkey,69,LM,Galatasaray SK
Patric,Spain,75,CB,Lazio
A. Bertaccini,Belgium,75,ST,RSC Anderlecht
Hong Chul,South Korea,66,LB,Gangwon FC
J. van Overeem,Netherlands,70,CM,SC Heerenveen
G. Kerk,Suriname,72,RM,Royal Antwerp FC
J. Veltman,Netherlands,78,RB,Brighton & Hove Albion
Clayton,Brazil,75,ST,Rio Ave FC
G. Alanís,Argentina,71,RM,Huracán
X. Chavalerin,France,67,CM,ESTAC Troyes
Joo Min Kyu,South Korea,74,ST,Daejeon Citizen
T. Kędziora,Poland,75,CB,PAOK
W. Willumsson,Iceland,70,CAM,Birmingham City
G. Hairemans,Belgium,70,CAM,Royal Antwerp FC
L. de la Torre,United States,72,CM,San Diego FC
A. Müller,Germany,70,CDM,Karlsruher SC
M. Guéhi,England,82,CB,Crystal Palace
M. Ben Ouanes,Tunisia,69,LB,Kasımpaşa SK
T. Martínez,Argentina,70,CM,FBC Melgar
C. Ganea,Romania,68,LB,FCV Farul Constanța
Heitor Gesse,Brazil,72,LB,Atlético Mineiro
C. Forrester,Republic of Ireland,66,CM,St Patrick's Athletic FC
J. Escobar,Paraguay,69,RB,Godoy Cruz
M. Praszelik,Poland,67,CM,Cracovia
F. Méndez,Chile,71,CDM,Colo-Colo
F. Guilbert,France,75,RB,Lecce
P. Ekwah,France,71,CDM,AS Saint-Étienne
Matheus Jussa,Brazil,71,CDM,Shanghai Port
A. Reach,England,66,LM,Lincoln City
A. Bedoya,United States,69,CM,Philadelphia Union
S. Pierotti,Argentina,70,RM,Lecce
T. Boyd,United States,68,RM,Nashville SC
J. Thompson,Northern Ireland,68,CM,Preston North End
D. Rensch,Netherlands,74,RB,Roma
K. Mac Allister,Argentina,76,CB,Union Saint-Gilloise
S. Ingelsson,Sweden,68,CM,Sheffield Wednesday
S. Verdi,Italy,71,CAM,Como
S. Skrzybski,Germany,72,ST,Holstein Kiel
S. Leach Holm,Sweden,69,CDM,BK Häcken
Jonatão Praz,Brazil,78,LW,Flamengo
A. Pereira,Norway,70,LB,Rosenborg BK
Pedrildo Rocha,Brazil,71,LW,Corinthians
M. Fossey,United States,71,RB,Standard de Liège
C. Vega,Argentina,68,CM,Central Cordoba SdE
José Arnáiz,Spain,70,LM,Granada CF
Ageu,Brazil,69,CM,Hearts
C. Wallem,Norway,70,LM,St. Louis CITY SC
Zé Pedro,Portugal,75,CB,Cagliari
R. Lundqvist,Sweden,67,CAM,IFK Göteborg
Matheus Oliveira,Brazil,71,CAM,FC Anyang
J. Mosqueira,Argentina,70,CDM,Talleres
J. Justvan,Germany,73,CAM,1. FC Nürnberg
J. Bos,Australia,69,LB,Feyenoord
D. Wolfe,Norway,73,LB,Wolverhampton Wanderers
C. Brittain,England,72,RB,Middlesbrough
L. Blondel,Switzerland,72,RB,Boca Juniors
F. Tănase,Romania,70,CAM,FCSB
J. Murphy,England,73,LM,Portsmouth
D. Pérez,Argentina,69,LB,Defensa y Justicia
L. Kerber,Germany,70,CDM,1. FC Heidenheim 1846
B. Atik,Turkey,72,LW,1. FC Magdeburg
J. Kubicki,Poland,69,CDM,Górnik Zabrze
Tiago Araújo,Portugal,69,LM,KAA Gent
J. Stacey,England,72,RB,Norwich City
L. Palmiero,Italy,66,CDM,Avellino
Y. de Lanlay,Norway,65,CM,Viking FK
L. Stojković,Croatia,70,CAM,Dinamo Zagreb
E. Llansana Beuse,Netherlands,72,CDM,RSC Anderlecht
G. Magnée,Belgium,70,LM,Cercle Brugge KSV
Abel Ruiz,Spain,73,ST,Girona FC
L. Flores,Venezuela,69,CDM,Atlético Bucaramanga
L. Kačavenda,Croatia,68,CAM,LASK Linz
K. Iheanacho,Nigeria,72,ST,Celtic
R. Haps,Suriname,68,LB,Venezia
W. Ferry,Republic of Ireland,69,LB,Dundee United FC
O. Kakabadze,Georgia,69,RB,Cracovia
E. Fernández,Argentina,75,CDM,Bayer 04 Leverkusen
S. Pontisso,Italy,68,CM,Catanzaro
Yang Hyun Jun,South Korea,70,RW,Celtic
J. Kamiński,Poland,74,LM,1. FC Köln
K. Appin,France,68,CM,Burgos CF
O. Traoré,Germany,73,RB,1. FC Heidenheim 1846
P. Vagić,Sweden,71,CB,Hammarby Fotboll
L. Abergel,France,75,CDM,FC Lorient
Ł. Łakomy,Poland,70,CM,Oud-Heverlee Leuven
B. Stillhart,Switzerland,66,CDM,FC Winterthur
J. Brekalo,Croatia,75,LM,Real Oviedo
K. Laba,Togo,77,ST,Al Ain
João Mendes,Portugal,72,LB,Vitória SC
A. Phillips,England,66,CM,Barnsley
C. O'Dowda,Republic of Ireland,68,LB,Ferencvárosi Torna Club
Jamiro Monteiro,Cape Verde,69,CAM,PEC Zwolle
J. García,Argentina,74,RB,Vélez Sarsfield
Lee Soon Min,South Korea,67,CM,Daejeon Citizen
Alfa Semedo,Guinea-Bissau,70,CDM,Al Fayha
R. Radunović,Montenegro,70,LB,FCSB
L. Sinayoko,Mali,74,ST,AJ Auxerre
P. Ruiz,Argentina,70,CM,Real Salt Lake
H. Massengo,France,72,CDM,FC Augsburg
L. Miley,England,72,CM,Newcastle United
R. Ranftl,Austria,71,RB,FK Austria Wien
K. McAteer,Republic of Ireland,71,RM,Ipswich Town
I. Price,Northern Ireland,69,CM,West Bromwich Albion
S. Cisse,Guinea,73,CM,CD Leganés
Paulson Junqueira,Brazil,73,LB,Corinthians
J. Ikoné,France,76,RM,Paris FC
L. Klostermann,Germany,78,CB,RB Leipzig
Aleñá,Spain,73,RM,Deportivo Alavés
Yuri Ribeiro,Portugal,70,LB,Blackburn Rovers
K. Eriksen,Norway,72,CAM,Molde FK
Nico Melamed,Spain,73,LM,UD Almería
L. Bucca,Argentina,69,CM,Independiente Rivadavia
B. Wiles,England,67,CM,Huddersfield Town
A. May,England,70,ST,Huddersfield Town
E. Ponce,Argentina,73,ST,Houston Dynamo
D. Kryskiv,Ukraine,72,CM,Shakhtar Donetsk
S. Baptiste,Grenada,69,CM,Luton Town
B. Bolla,Hungary,69,RB,SK Rapid
N. Woltemade,Germany,79,ST,Newcastle United
G. Maggiore,Italy,71,CM,SSC Bari
M. Odubajo,England,71,RB,AEK Athens
E. Zhegrova,Kosovo,79,RM,Juventus
M. Pellegrini,Argentina,70,LM,Vélez Sarsfield
L. Zanimacchia,Italy,72,RM,Modena
F. Sakala,Zambia,75,LW,Al Fayha
Iván Gil,Spain,71,CM,UD Las Palmas
A. Cardozo,Argentina,71,CDM,Lanús
E. Iyoha,Germany,69,LB,Fortuna Düsseldorf
I. Vassilev,United States,68,LM,Philadelphia Union
D. Johnsen,Norway,71,ST,Cremonese
Gabri Martínez,Spain,73,LM,Sporting Clube de Braga
S. Byram,England,72,LB,Leeds United
D. Mitchell,Jamaica,68,LM,Leyton Orient
T. Baldanzi,Italy,75,CAM,Roma
P. Rommens,Belgium,70,CDM,Ferencvárosi Torna Club
E. Agbadou,Ivory Coast,79,CB,Wolverhampton Wanderers
Igor Jesus,Brazil,77,ST,Nottingham Forest
A. Kuen,Austria,68,LM,Melbourne City FC
S. Diakité,Mali,70,RB,Palermo FC
Y. Medina,Ecuador,70,LB,KRC Genk
D. Vergara,Colombia,74,LW,Racing Club
G. Docherty,Scotland,66,CDM,Charlton Athletic
M. Bähre,Germany,66,CM,SC Rheindorf Altach
M. Coco,France,70,RB,CFR Cluj
Luan Sendeiro,Brazil,70,CDM,Internacional
S. Mayulu,France,75,CM,Paris Saint-Germain
Aldaír Ferreira,Angola,67,CDM,FC Botoşani
L. Sequeira,Argentina,69,CAM,Talleres
F. Peña Biafore,Argentina,70,CDM,Lanús
L. Daschner,Germany,71,CAM,FC St.Gallen 1879
Rodrigo Muniz,Brazil,75,ST,Fulham FC
F. Ebosele,Republic of Ireland,69,RM,Medipol Başakşehir FK
G. Scamacca,Italy,79,ST,Atalanta
Suso,Spain,77,RM,Cádiz CF
D. Johnson,Jamaica,68,CAM,Fatih Karagümrük
F. Kaufmann,Germany,67,CAM,Eintracht Braunschweig
M. Baradji,France,68,CM,Blackburn Rovers
M. Cauteruccio,Uruguay,75,ST,Bolívar
H. Toffolo,England,71,LB,Charlotte FC
S. Sydorchuk,Ukraine,69,CDM,KVC Westerlo
M. Fixelles,Belgium,68,CDM,KVC Westerlo
Y. Kechta,Morocco,73,CM,Le Havre AC
O. Fraulo,Denmark,69,CM,Borussia Mönchengladbach
L. Rota,Greece,75,RB,AEK Athens
K. Arnstad,Norway,68,CM,Aarhus Gymnastikforening
P. Lavandeira,Uruguay,68,CM,Alianza Lima
B. Kraev,Bulgaria,69,LM,Western Sydney Wanderers
E. Mammana,Argentina,75,CB,Vélez Sarsfield
J. Bahoya,France,75,LM,Eintracht Frankfurt
G. Morandi,Switzerland,70,CAM,Servette FC
T. Louchet,France,72,RM,OGC Nice
Wagner Pina,Cape Verde,72,RM,Trabzonspor
Saúl Coco,Equatorial Guinea,76,CB,Torino
R. Cabella,France,75,LM,Olympiacos FC
M. Biereth,Denmark,78,ST,AS Monaco
P. Beruatto,Italy,69,LM,Spezia
A. Schöpf,Austria,68,CM,Wolfsberger AC
K. Danois,France,74,CM,AJ Auxerre
J. Penrice,Scotland,70,LB,AEK Athens
Pedro,Spain,77,RM,Lazio
Y. Attiat-Allah,Morocco,71,LB,
G. Martínez,Argentina,74,LW,River Plate
L. Coyle,England,70,RB,Hull City
F. Mura,Argentina,71,RB,Racing Club
Y. Sor,Nigeria,72,ST,KRC Genk
M. Deijl,Netherlands,72,RB,Go Ahead Eagles
Vitinha,Portugal,75,ST,Genoa
T. Gardner-Hickman,England,69,CM,Blackburn Rovers
Isma Ruiz,Spain,70,CM,Córdoba CF
Geovany Quenda,Portugal,76,RM,Sporting CP
M. Solomon,Israel,77,LM,Villarreal CF
J. Newell,England,68,CM,Hibernian
A. Sissako,France,67,CM,Sint-Truidense VV
André Sousa,Portugal,65,CDM,CD Nacional
J. Berget,Norway,67,ST,Sarpsborg 08 FF
K. Amian,France,73,RB,FC Nantes
A. Afif,Qatar,78,LM,
K. Dolberg,Denmark,77,ST,Ajax
I. Sosa,Argentina,70,CAM,Argentinos Juniors
Gabriel Pec,Brazil,76,RM,LA Galaxy
T. Letschert,Netherlands,74,CB,Chengdu Rongcheng
Sergio Lozano,Spain,71,CM,Jagiellonia Białystok
S. Sanna,France,69,CM,Stade Lavallois Mayenne FC
B. Kololli,Kosovo,68,LM,FC Sion
J. Osorio,Canada,71,CM,Toronto FC
A. Little,England,64,CM,Gillingham
H. Clarke,England,70,RB,Ipswich Town
H. Choudhury,Bangladesh,72,RB,Leicester City
Roberto,Spain,74,ST,RCD Espanyol
A. Theate,Belgium,80,CB,Eintracht Frankfurt
R. Pierre-Gabriel,France,73,RB,Dinamo Zagreb
E. Cecchini,Argentina,67,CM,San Lorenzo de Almagro
B. De Keersmaecker,Belgium,70,CDM,Oxford United
C. Paterson,Scotland,68,ST,Milton Keynes Dons
S. Al Faraj,Saudi Arabia,69,CM,NEOM SC
T. Chong,Curaçao,71,CAM,Sheffield United
T. Ince,England,67,CM,Watford
A. Vigo,Argentina,68,RB,Club Atlético Sarmiento
Mario Soriano,Spain,73,CAM,RC Deportivo de La Coruña
Jaume Grau,Spain,69,CM,AVS Futebol SAD
Calebe,Brazil,69,CAM,Deportivo Alavés
M. Zeidan,Palestine,69,CAM,Rosenborg BK
J. Corozo,Ecuador,71,LM,Barcelona de Guayaquil
G. Puerta,Colombia,68,CM,Racing Santander
J. Larsen,Norway,78,ST,Wolverhampton Wanderers
M. Fall,Senegal,73,RM,Kasımpaşa SK
D. James,Indonesia,70,LB,Go Ahead Eagles
S. Kvia-Egeskog,Norway,65,CM,Viking FK
R. Henry,England,76,LB,Brentford
Mollejo,Spain,70,ST,Burgos CF
K. Magennis,Scotland,65,CM,Kilmarnock
M. Cova,Venezuela,69,CM,Deportivo Táchira
M. Friedl,Austria,77,CB,SV Werder Bremen
Hwang Jae Won,South Korea,70,RB,Daegu FC
Eric García,Spain,79,CB,FC Barcelona
C. Cîrjan,Romania,70,CAM,Dinamo Bucureşti
J. Shehu,Albania,70,CM,Widzew Łódź
S. Hoskins,England,66,RM,Northampton Town
Li Yuanyi,China,66,CM,Shandong Taishan
M. Aydın,Turkey,66,RB,Eintracht Braunschweig
I. Camara,Senegal,69,LB,RSC Anderlecht
Park Soo Il,South Korea,68,RB,FC Seoul
Aarón Martín,Spain,67,CM,CD Mirandés
A. Bianco,Italy,71,CM,PAOK
J. Quintero,Ecuador,70,RB,LDU Quito
C. Tengstedt,Denmark,74,ST,Feyenoord
B. Barcia,Uruguay,67,RM,Boston River
I. Coulibaly,Mali,67,CM,LASK Linz
U. Garcia,Switzerland,75,LB,Olympique de Marseille
T. Fellows,England,72,RM,Southampton
T. Abraham,England,77,ST,Beşiktaş JK
T. Nikitscher,Hungary,69,CDM,Rio Ave FC
V. Korniienko,Ukraine,67,LB,Shakhtar Donetsk
K. Boudiaf,Qatar,71,CM,
T. Chukwuani,Denmark,68,CM,SK Sturm Graz
L. Brouwers,Netherlands,67,CAM,SC Heerenveen
I. Hagi,Romania,74,CAM,Alanyaspor
F. Amaya,United States,69,CM,Los Angeles FC
S. Vasiliadis,Greece,67,CM,1. FC Saarbrücken
Lúcio Corteijo,Brazil,76,RB,Botafogo
E. Erhahon,Scotland,67,CDM,Bolton Wanderers
T. van den Belt,Netherlands,70,CM,FC Twente
Ž. Majer,Slovenia,67,CM,Mantova
Nicolás Formido,Brazil,73,CAM,Internacional
A. Forson,Ghana,69,CM,Norwich City
Barrenetxea,Spain,77,LM,Real Sociedad
Meirelinson,Brazil,74,CB,Corinthians
B. Garrity,England,64,CM,Port Vale
M. Coronel,Argentina,71,ST,Atlético Tucumán
T. Delaine,France,71,LB,Le Havre AC
O. Berg,Norway,67,CAM,Malmö FF
J. Bakayoko,Belgium,78,RW,RB Leipzig
D. Yedlin,United States,71,RB,Real Salt Lake
N. Beloko,Switzerland,67,CM,FC Lausanne-Sport
M. Santos,Uruguay,70,ST,Vélez Sarsfield
O. Burke,Scotland,73,ST,1. FC Union Berlin
V. Kochergin,Ukraine,72,CM,Raków Częstochowa
I. Cardona,France,73,RW,AS Saint-Étienne
J. Hollman,Australia,66,CM,Walsall
O. Hutsuliak,Ukraine,72,RM,
V. Rață,Moldova,63,CM,FC Argeș
A. Morris,United States,73,CDM,Middlesbrough
C. Michelin,France,69,RB,Racing Santander
Wagner Orsinho,Brazil,71,LB,Fluminense
L. Kübler,Germany,75,RB,SC Freiburg
D. Benedetto,Argentina,71,ST,Newell's Old Boys
E. Wekesser,Germany,66,LB,1. FC Kaiserslautern
L. Pellegrini,Italy,74,LB,Lazio
Portillo,Spain,68,LM,SD Huesca
M. Wörl,Germany,69,CM,DSC Arminia Bielefeld
V. van Crooij,Netherlands,69,CAM,NEC Nijmegen
N. Broadhead,Wales,73,LM,Wrexham
O. Popescu,Romania,66,CDM,UTA Arad
E. Sahiti,Kosovo,71,RW,Hamburger SV
Altimira,Spain,72,RB,Villarreal CF
C. Tosun,Turkey,72,ST,Fenerbahçe SK
F. Jagiełło,Poland,67,CM,Lech Poznań
Vilarrasa,Spain,69,LB,Córdoba CF
L. Ullrich,Germany,74,LB,Borussia Mönchengladbach
B. Wembangomo,Norway,69,RB,BK Häcken
J. Grzesik,Poland,69,RM,Radomiak Radom
J. Buckley,England,69,CDM,Al Kholood
B. Zeneli,Sweden,72,CM,IF Elfsborg
S. Opsahl,Norway,67,CM,SK Brann
D. Hashioka,Japan,70,RB,SK Slavia Praha
Ramiro,Brazil,70,CDM,FC Dallas
J. Almada Monteiro,Switzerland,73,LM,BSC Young Boys
M. Maigaard,Denmark,69,CM,Cracovia
K. Piątkowski,Poland,71,CB,Legia Warszawa
R. Ledson,England,67,CM,Huddersfield Town
Kim Bong Soo,South Korea,72,CDM,Daejeon Citizen
H. Boumous,Morocco,69,CAM,Odisha FC
H. Finndell,Sweden,65,CM,Djurgårdens IF
J. Reine-Adélaïde,France,70,CAM,Heracles Almelo
M. Kranevitter,Argentina,74,CDM,Fatih Karagümrük
E. Ampadu,Wales,76,CB,Leeds United
Pablo Tomeo,Spain,71,CB,Real Valladolid CF
Y. Sarı,Turkey,75,RM,Medipol Başakşehir FK
M. Martínez,Argentina,72,CDM,Club Atlético Unión
E. Mason-Clark,England,71,LM,Coventry City
H. Calcaterra,Peru,68,CM,Universitario de Deportes
R. Meerveld,Netherlands,71,CAM,SC Heerenveen
S. Peck,England,70,CDM,Sheffield United
N. Castro,Argentina,67,CM,Atlético Tucumán
R. Heußer,Germany,68,CM,Eintracht Braunschweig
Ricard,Spain,71,RB,GD Estoril Praia
Alam Lindeiro,Brazil,75,LB,Botafogo
L. Hernández,Uruguay,70,LB,Peñarol
Toti,Portugal,75,CB,Wolverhampton Wanderers
M. Biron,France,68,ST,1. FC Nürnberg
D. Djené,Togo,77,CB,Getafe CF
Xeka,Portugal,72,CM,GD Estoril Praia
A. Pellegrino,Norway,71,LM,San Diego FC
L. Berry,England,66,CAM,Charlton Athletic
M. Sarkaria,Austria,68,ST,FK Austria Wien
S. Alexandropoulos,Greece,68,CM,Fortuna Düsseldorf
T. Asano,Japan,75,RM,RCD Mallorca
J. Acevedo,Argentina,69,RM,Instituto Atlético Central Córdoba
Pablo Torre,Spain,74,CAM,RCD Mallorca
R. Lubach,Germany,68,CM,1. FC Nürnberg
Danilo,Brazil,68,LB,1. FC Nürnberg
Á. Cardozo Lucena,Paraguay,68,CM,Libertad
V. Lindelöf,Sweden,75,CB,Aston Villa
Sergio Álvarez,Spain,70,CDM,SD Eibar
C. Bishop,England,72,ST,Portsmouth
P. Pflücke,Germany,73,RM,Royal Charleroi Sporting Club
K. Ajer,Norway,75,RB,Brentford
F. Baschirotto,Italy,75,CB,Cremonese
C. Kouamé,Ivory Coast,74,ST,Fiorentina
S. Elia,Italy,69,RB,Empoli
K. Vogt,Germany,75,CB,VfL Bochum 1848
J. Giani,Argentina,71,CAM,CA Aldosivi
J. Vanlerberghe,Belgium,69,CB,Brøndby IF
A. Candela,Italy,70,RB,Spezia
D. Dąbrowski,Poland,68,CDM,Zagłębie Lubin
Alemão,Brazil,73,ST,Rayo Vallecano
Álex Sola,Spain,72,RM,Granada CF
T. Kehrer,Germany,79,CB,AS Monaco
M. Delorge,Belgium,72,CM,KAA Gent
Mariano,Dominican Republic,70,ST,Deportivo Alavés
W. Coulibaly,France,72,RB,Sassuolo
B. Williams,England,70,LB,Hull City
M. Power,England,68,CDM,Bradford City
Cristian,Spain,66,CM,AD Ceuta FC
A. Bernhardsson,Sweden,72,ST,Holstein Kiel
C. Devlin,Australia,71,CDM,Hearts
A. Rufer,New Zealand,67,CDM,Wellington Phoenix
Anderson Oliveira,Brazil,75,LM,FC Seoul
J. Schöppner,Germany,74,CDM,1. FC Heidenheim 1846
B. Traoré,Ivory Coast,75,LM,FC Basel 1893
A. Artean,Romania,68,CDM,Universitatea Cluj
K. Koulibaly,Senegal,82,CB,Al Hilal
M. Brink,Denmark,70,CM,FC Nordsjælland
F. Zapiola,Argentina,70,LM,Platense
Ailton Valpaços,Brazil,72,CB,São Paulo
Bryan Teixeira,Cape Verde,66,ST,LASK Linz
Y. Nazaryna,Ukraine,69,CM,Shakhtar Donetsk
K. Anderson,England,70,LM,Birmingham City
Stefan Bajcetic,Spain,73,CDM,Liverpool
G. Tomasiewicz,Poland,68,CDM,Piast Gliwice
J. Olaitan,Benin,65,LM,Göztepe SK
M. Mathisen,Denmark,72,CB,1. FC Magdeburg
L. Vallier,France,67,LB,CD Nacional
N. Nkounkou,France,72,LB,Torino
J. Tolkin,United States,71,LB,Holstein Kiel
J. Lonwijk,Suriname,66,CM,Fortuna Sittard
D. Jean Jacques,Haiti,70,CM,Philadelphia Union
M. Schulz,Germany,67,CB,SC Preußen Münster
B. Carrasco,Chile,71,RM,CD Palestino
A. Franzoni,Italy,69,CM,Virtus Entella
M. Valoti,Italy,70,CM,Cremonese
L. Selahi,Albania,71,CDM,Widzew Łódź
A. Grassi,Italy,70,CM,Cremonese
O. Beck,Wales,70,LB,Derby County
J. Fujita,Japan,69,CM,FC St. Pauli
W. Vaulks,Wales,68,CDM,Oxford United
V. Lobry,France,66,CM,Amiens SC
Ximo Navarro,Spain,71,RB,RC Deportivo de La Coruña
C. Ordoñez,Argentina,72,CDM,Parma
J. Maggiotti,France,67,CM,Stade Lavallois Mayenne FC
H. Keïta,Mali,68,CM,Kocaelispor
A. Bellemo,Italy,71,CM,Sampdoria
M. Pedersen,Denmark,72,LB,FC Augsburg
D. Ings,England,72,ST,Sheffield United
M. Nzola,Angola,75,ST,Pisa
W. Dammers,Netherlands,71,CB,Randers FC
N. López,Uruguay,76,ST,Club Nacional de Football
S. Thomas,Wales,71,RM,Stoke City
Guarrotxena,Spain,69,ST,FC Goa
Igor Silva,Brazil,70,RB,FC Lorient
D. Kinsombi,Germany,66,CM,SC Paderborn 07
L. Shankland,Scotland,73,ST,Hearts
G. Kotsiras,Greece,71,RB,Panathinaikos FC
L. Fomba,France,69,CDM,Servette FC
R. Ghezzal,Algeria,74,RM,Olympique Lyonnais
N. Cabanillas,Peru,68,LM,FBC Melgar
T. Conechny,Argentina,73,LM,Racing Club
J. Uronen,Finland,68,LB,
L. Podolski,Germany,71,ST,Górnik Zabrze
M. Thychosen,Denmark,69,RB,AIK
Z. Buurmeester,Netherlands,69,CM,PEC Zwolle
S. de Vrij,Netherlands,84,CB,Inter
C. Rizzuto,Germany,66,LB,1. FC Saarbrücken
P. Ceppelini,Uruguay,69,CAM,Alianza Lima
A. García Basso,Argentina,74,CB,Racing Club
T. Kainz,Austria,67,CDM,TSV Hartberg
Darlan,Brazil,68,CM,Wuhan Three Towns
T. Rigo,Slovakia,70,CM,Stoke City
K. Sowah,Ghana,67,ST,NAC Breda
Salinas,Spain,72,LB,RCD Espanyol
F. Doucouré,Mali,69,RB,Le Havre AC
L. Heredia,Argentina,71,ST,Central Cordoba SdE
A. Mumin,Ghana,77,CB,Rayo Vallecano
Jesús Imaz,Spain,74,CAM,Jagiellonia Białystok
H. Reed,England,72,CDM,Fulham FC
A. Mitriță,Romania,75,CAM,Zhejiang FC
P. Soko,Cameroon,73,ST,UD Almería
J. Forrest,Scotland,72,RW,Celtic
D. Brašanac,Serbia,70,CDM,Málaga CF
T. Oosting,Netherlands,66,CAM,PEC Zwolle
F. Tardieu,France,71,CDM,AS Saint-Étienne
